cue-length,ms-precue,resp-v-hv,ms-st-cue,nitems,offset2,resp-h-pos,actualStimOn,resp-v-pos,ms-stimon,resp-h-hv,cue-loc-int,cue-loc-x,cue-loc-y,radius,bars-or-spot,version,offset,npractice,ntrials
3.1,0.0,2,400.0,22.0,13,0,1.14585089684,1,1144.0,2,0,0.0,5.3,5.3,4,7,9,5.0,400.0
3.1,0.0,1,400.0,22.0,13,0,1.14579296112,0,1144.0,2,0,0.0,5.3,5.3,4,7,9,5.0,400.0
3.1,0.0,2,400.0,22.0,13,0,1.14577102661,0,1144.0,2,0,0.0,5.3,5.3,4,7,9,5.0,400.0
3.1,0.0,2,400.0,22.0,13,1,1.14628314972,1,1144.0,2,0,0.0,5.3,5.3,4,7,9,5.0,400.0
3.1,0.0,2,400.0,22.0,13,0,1.14606714249,0,1144.0,1,0,0.0,5.3,5.3,4,7,9,5.0,400.0
3.1,0.0,2,400.0,22.0,13,0,1.14580702782,0,1144.0,1,0,0.0,5.3,5.3,4,7,9,5.0,400.0
3.1,0.0,2,400.0,22.0,13,0,1.14572191238,0,1144.0,2,0,0.0,5.3,5.3,4,7,9,5.0,400.0
3.1,0.0,1,400.0,22.0,13,0,1.14573693275,0,1144.0,1,0,0.0,5.3,5.3,4,7,9,5.0,400.0
3.1,0.0,2,400.0,22.0,13,0,1.14591312408,0,1144.0,1,0,0.0,5.3,5.3,4,7,9,5.0,400.0
3.1,0.0,1,400.0,22.0,13,0,1.14579510689,-2,1144.0,2,0,0.0,5.3,5.3,4,7,9,5.0,400.0
3.1,0.0,2,400.0,22.0,13,0,1.14575099945,0,1144.0,1,0,0.0,5.3,5.3,4,7,9,5.0,400.0
3.1,0.0,2,400.0,22.0,13,1,1.14599895477,0,1144.0,1,0,0.0,5.3,5.3,4,7,9,5.0,400.0
3.1,0.0,1,400.0,22.0,13,0,1.14616918564,0,1144.0,2,0,0.0,5.3,5.3,4,7,9,5.0,400.0
3.1,0.0,2,400.0,22.0,13,0,1.14615893364,0,1144.0,1,0,0.0,5.3,5.3,4,7,9,5.0,400.0
3.1,0.0,2,400.0,22.0,13,0,1.14606499672,0,1144.0,1,0,0.0,5.3,5.3,4,7,9,5.0,400.0
3.1,0.0,2,400.0,22.0,13,-1,1.14579701424,0,1144.0,1,0,0.0,5.3,5.3,4,7,9,5.0,400.0
cue-length,ms-precue,resp-v-hv,ms-st-cue,nitems,offset2,resp-h-pos,actualStimOn,resp-v-pos,ms-stimon,resp-h-hv,cue-loc-int,cue-loc-x,cue-loc-y,radius,bars-or-spot,version,offset,npractice,ntrials
3.1,0.0,1,400.0,22.0,10,-2,1.14589905739,-2,1144.0,1,9,2.86539633251,-4.45864372401,5.3,5,8,10,5.0,400.0
3.1,0.0,2,400.0,22.0,10,-1,1.1460211277,-1,1144.0,2,0,0.0,5.3,5.3,5,8,10,5.0,400.0
3.1,0.0,2,400.0,22.0,10,0,1.14598894119,0,1144.0,2,4,4.82104957538,2.20169956891,5.3,5,8,10,5.0,400.0
cue-length,ms-precue,resp-v-hv,ms-st-cue,nitems,offset2,resp-h-pos,actualStimOn,resp-v-pos,ms-stimon,resp-h-hv,cue-loc-int,cue-loc-x,cue-loc-y,radius,bars-or-spot,version,offset,npractice,ntrials
