cue-length,ms-precue,resp-v-hv,ms-st-cue,nitems,resp-h-pos,resp-v-pos,ms-stimon,resp-h-hv,cue-loc-int,cue-loc-x,cue-loc-y,radius,bars-or-spot,npractice,ntrials
5.0,0.0,1,300.0,16.0,0,0,100.0,2,0,0.0,4.5,4.5,2.0,5.0,10.0
5.0,0.0,2,300.0,16.0,0,0,100.0,1,14,-3.18198051534,3.18198051534,4.5,2.0,5.0,10.0
5.0,0.0,1,300.0,16.0,-1,0,100.0,1,5,4.1574578963,-1.72207544564,4.5,2.0,5.0,10.0
5.0,0.0,1,300.0,16.0,0,-2,100.0,1,13,-4.1574578963,1.72207544564,4.5,2.0,5.0,10.0
5.0,0.0,1,300.0,16.0,-1,0,100.0,2,3,4.1574578963,1.72207544564,4.5,2.0,5.0,10.0
5.0,0.0,2,300.0,16.0,0,0,100.0,1,12,-4.5,-8.2660928883e-16,4.5,2.0,5.0,10.0
5.0,0.0,2,300.0,16.0,0,0,100.0,2,6,3.18198051534,-3.18198051534,4.5,2.0,5.0,10.0
5.0,0.0,2,300.0,16.0,0,0,100.0,1,1,1.72207544564,4.1574578963,4.5,2.0,5.0,10.0
5.0,0.0,2,300.0,16.0,0,0,100.0,1,1,1.72207544564,4.1574578963,4.5,2.0,5.0,10.0
5.0,0.0,1,300.0,16.0,0,1,100.0,1,9,-1.72207544564,-4.1574578963,4.5,2.0,5.0,10.0
cue-length,ms-precue,resp-v-hv,ms-st-cue,nitems,resp-h-pos,resp-v-pos,ms-stimon,resp-h-hv,cue-loc-int,cue-loc-x,cue-loc-y,radius,bars-or-spot,npractice,ntrials
4.0,0.0,1,300.0,15.0,-1,-1,100.0,1,7,0.93560260868,-4.4016642033,4.5,2.0,5.0,10.0
4.0,0.0,2,300.0,15.0,0,0,100.0,1,9,-2.64503363532,-3.64057647469,4.5,2.0,5.0,10.0
4.0,0.0,2,300.0,15.0,0,0,100.0,1,2,3.34415171465,3.01108772861,4.5,2.0,5.0,10.0
4.0,0.0,1,300.0,15.0,-1,0,100.0,2,4,4.47534852916,-0.470378084704,4.5,2.0,5.0,10.0
4.0,0.0,2,300.0,15.0,1,1,100.0,2,12,-4.27975432333,1.39057647469,4.5,2.0,5.0,10.0
