cue-length,ms-precue,resp-v-hv,ms-st-cue,nitems,resp-h-pos,resp-v-pos,ms-stimon,resp-h-hv,cue-loc-int,cue-loc-x,cue-loc-y,radius,bars-or-spot,npractice,ntrials
3.0,0.0,1,300.0,14.0,1,0,100.0,1,3,3.89971164873,0.890083735825,4.0,1.0,7.0,500.0
3.0,0.0,2,300.0,14.0,0,0,100.0,1,2,3.12732592987,2.49395920743,4.0,1.0,7.0,500.0
3.0,0.0,1,300.0,14.0,1,1,100.0,1,6,1.73553495647,-3.60387547161,4.0,1.0,7.0,500.0
3.0,0.0,1,300.0,14.0,0,-2,100.0,1,4,3.89971164873,-0.890083735825,4.0,1.0,7.0,500.0
3.0,0.0,2,300.0,14.0,-1,0,100.0,2,12,-3.12732592987,2.49395920743,4.0,1.0,7.0,500.0
3.0,0.0,1,300.0,14.0,0,0,100.0,1,7,4.89842541529e-16,-4.0,4.0,1.0,7.0,500.0
3.0,0.0,2,300.0,14.0,0,0,100.0,1,8,-1.73553495647,-3.60387547161,4.0,1.0,7.0,500.0
3.0,0.0,2,300.0,14.0,-1,0,100.0,1,6,1.73553495647,-3.60387547161,4.0,1.0,7.0,500.0
3.0,0.0,1,300.0,14.0,0,-1,100.0,1,13,-1.73553495647,3.60387547161,4.0,1.0,7.0,500.0
3.0,0.0,2,300.0,14.0,0,0,100.0,1,13,-1.73553495647,3.60387547161,4.0,1.0,7.0,500.0
3.0,0.0,2,300.0,14.0,0,0,100.0,1,13,-1.73553495647,3.60387547161,4.0,1.0,7.0,500.0
3.0,0.0,1,300.0,14.0,0,1,100.0,1,12,-3.12732592987,2.49395920743,4.0,1.0,7.0,500.0
3.0,0.0,1,300.0,14.0,0,0,100.0,2,8,-1.73553495647,-3.60387547161,4.0,1.0,7.0,500.0
3.0,0.0,2,300.0,14.0,-1,2,100.0,2,1,1.73553495647,3.60387547161,4.0,1.0,7.0,500.0
3.0,0.0,2,300.0,14.0,1,0,100.0,2,9,-3.12732592987,-2.49395920743,4.0,1.0,7.0,500.0
3.0,0.0,2,300.0,14.0,0,0,100.0,1,2,3.12732592987,2.49395920743,4.0,1.0,7.0,500.0
3.0,0.0,2,300.0,14.0,0,0,100.0,1,4,3.89971164873,-0.890083735825,4.0,1.0,7.0,500.0
3.0,0.0,1,300.0,14.0,-1,0,100.0,1,7,4.89842541529e-16,-4.0,4.0,1.0,7.0,500.0
3.0,0.0,1,300.0,14.0,0,-2,100.0,1,6,1.73553495647,-3.60387547161,4.0,1.0,7.0,500.0
3.0,0.0,2,300.0,14.0,0,0,100.0,1,6,1.73553495647,-3.60387547161,4.0,1.0,7.0,500.0
3.0,0.0,2,300.0,14.0,0,0,100.0,1,3,3.89971164873,0.890083735825,4.0,1.0,7.0,500.0
3.0,0.0,2,300.0,14.0,-1,0,100.0,1,0,0.0,4.0,4.0,1.0,7.0,500.0
3.0,0.0,2,300.0,14.0,2,0,100.0,2,12,-3.12732592987,2.49395920743,4.0,1.0,7.0,500.0
3.0,0.0,2,300.0,14.0,0,0,100.0,1,4,3.89971164873,-0.890083735825,4.0,1.0,7.0,500.0
3.0,0.0,2,300.0,14.0,0,0,100.0,1,11,-3.89971164873,0.890083735825,4.0,1.0,7.0,500.0
3.0,0.0,2,300.0,14.0,-1,0,100.0,1,6,1.73553495647,-3.60387547161,4.0,1.0,7.0,500.0
3.0,0.0,1,300.0,14.0,0,0,100.0,2,9,-3.12732592987,-2.49395920743,4.0,1.0,7.0,500.0
3.0,0.0,2,300.0,14.0,1,0,100.0,1,9,-3.12732592987,-2.49395920743,4.0,1.0,7.0,500.0
3.0,0.0,2,300.0,14.0,0,0,100.0,1,1,1.73553495647,3.60387547161,4.0,1.0,7.0,500.0
3.0,0.0,2,300.0,14.0,0,0,100.0,1,0,0.0,4.0,4.0,1.0,7.0,500.0
3.0,0.0,2,300.0,14.0,0,0,100.0,1,10,-3.89971164873,-0.890083735825,4.0,1.0,7.0,500.0
3.0,0.0,2,300.0,14.0,0,2,100.0,1,7,4.89842541529e-16,-4.0,4.0,1.0,7.0,500.0
3.0,0.0,1,300.0,14.0,0,0,100.0,2,11,-3.89971164873,0.890083735825,4.0,1.0,7.0,500.0
3.0,0.0,2,300.0,14.0,0,2,100.0,1,7,4.89842541529e-16,-4.0,4.0,1.0,7.0,500.0
3.0,0.0,2,300.0,14.0,0,0,100.0,1,1,1.73553495647,3.60387547161,4.0,1.0,7.0,500.0
3.0,0.0,2,300.0,14.0,0,0,100.0,1,0,0.0,4.0,4.0,1.0,7.0,500.0
3.0,0.0,2,300.0,14.0,0,0,100.0,1,8,-1.73553495647,-3.60387547161,4.0,1.0,7.0,500.0
3.0,0.0,1,300.0,14.0,0,1,100.0,2,0,0.0,4.0,4.0,1.0,7.0,500.0
3.0,0.0,2,300.0,14.0,-2,0,100.0,2,6,1.73553495647,-3.60387547161,4.0,1.0,7.0,500.0
3.0,0.0,1,300.0,14.0,0,0,100.0,1,9,-3.12732592987,-2.49395920743,4.0,1.0,7.0,500.0
3.0,0.0,2,300.0,14.0,0,0,100.0,1,9,-3.12732592987,-2.49395920743,4.0,1.0,7.0,500.0
3.0,0.0,2,300.0,14.0,0,0,100.0,1,8,-1.73553495647,-3.60387547161,4.0,1.0,7.0,500.0
3.0,0.0,2,300.0,14.0,0,0,100.0,1,0,0.0,4.0,4.0,1.0,7.0,500.0
